make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Seat Ibiza,Seat,DE,10980,Compact,Used,5.0,86002.0,Manual,Benzin,Dealer,55.0,5.0,Euro 6,4.0,Standart,Low,standard
Seat Ibiza,Seat,DE,19900,Compact,Used,5.0,36529.0,Manual,Benzin,Dealer,110.0,7.0,Euro 6,4.0,Upgrated,Low,luxury
Seat Ibiza,Seat,DE,4650,Compact,Used,3.0,149990.0,Manual,Benzin,Dealer,51.0,6.0,Other,11.0,Standart,Low,standard
Seat Ibiza,Seat,ES,4490,Compact,Used,5.0,163950.0,Manual,Benzin,Dealer,63.0,5.0,Other,13.0,Standart,Low,standard
Seat Leon,Seat,ES,17900,Compact,Used,5.0,106000.0,Manual,Diesel,Dealer,135.0,6.0,Euro 6,5.0,Standart,Medium,standard
Seat Ibiza,Seat,DE,19990,Compact,Demonstration,5.0,100.0,Manual,Benzin,Dealer,81.0,6.0,Euro 6,1.0,Standart,Low,standard
Seat Ibiza,Seat,DE,23790,Compact,Demonstration,5.0,5000.0,Automatic,Benzin,Dealer,81.0,7.0,Euro 6,0.0,Upgrated,Low,standard
Seat Leon,Seat,ES,11990,Compact,Used,5.0,127500.0,Manual,Benzin,Dealer,81.0,6.0,Euro 6,5.0,Standart,Low,standard
Seat Ibiza,Seat,BE,12900,Compact,Used,5.0,44012.0,Manual,Benzin,Dealer,59.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,14799,Compact,Used,5.0,27474.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Leon,Seat,ES,13950,Compact,Used,5.0,112567.0,Manual,Diesel,Dealer,85.0,5.0,Euro 6,5.0,Standart,Low,standard
Seat Ibiza,Seat,ES,13950,Compact,Used,5.0,23043.0,Manual,LPG/CNG,Dealer,66.0,5.0,Euro 6,1.0,Standart,Low,standard
Seat Leon,Seat,ES,21700,Compact,Used,5.0,23500.0,Manual,Benzin,Dealer,110.0,6.0,Euro 6,1.0,Standart,Low,standard
Seat Ibiza,Seat,DE,13980,Compact,Used,5.0,21474.0,Automatic,Benzin,Dealer,110.0,7.0,Other,8.0,Standart,Low,standard
Seat Ibiza,Seat,ES,4999,Compact,Used,5.0,204589.0,Manual,Diesel,Dealer,74.0,5.0,Other,17.0,Standart,Medium,standard
Seat Ibiza,Seat,DE,7290,Compact,Used,5.0,122150.0,Manual,Benzin,Dealer,63.0,5.0,Other,10.0,Standart,Low,standard
Seat Ibiza,Seat,DE,20990,Compact,Pre-registered,5.0,7.0,Manual,Benzin,Dealer,59.0,5.0,Euro 6,0.0,Upgrated,Low,standard
Seat Ibiza,Seat,DE,14480,Compact,Used,5.0,27700.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,4.0,Standart,Low,standard
Seat Leon,Seat,ES,6350,Compact,Used,5.0,183450.0,Manual,Diesel,Dealer,77.0,5.0,Other,14.0,Standart,Medium,standard
Seat Ibiza,Seat,ES,12990,Compact,Used,5.0,44000.0,Manual,Benzin,Dealer,59.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,26990,Compact,Demonstration,5.0,2500.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,0.0,Upgrated,Low,standard
Seat Ibiza,Seat,DE,24470,Compact,Pre-registered,5.0,15.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,1.0,Upgrated,Low,standard
